Fuel_Type,Body_Type,Transmission,KM_Driven,Model_Year,Price,Engine,Brand,Model,Registration_Year,City
Petrol,Hatchback,Manual,29268,2014,3.3,814.0,Hyundai,Hyundai EON,2014,bangalore
Petrol,Sedan,Automatic,20000,2019,9.9,1197.0,Volkswagen,Volkswagen Vento,2019,bangalore
Petrol,Sedan,Manual,30000,2018,7.5,1496.0,Toyota,Toyota Yaris,2018,bangalore
Petrol,Hatchback,Automatic,64374,2018,7.55,1199.0,Honda,Honda Jazz,2018,bangalore
Diesel,SUV,Manual,30000,2021,17.5,1956.0,MG,MG Hector,2021,bangalore
Petrol,SUV,Automatic,7100,2022,20.83,1999.0,Hyundai,Hyundai Alcazar,2022,bangalore
Petrol,Hatchback,Manual,43679,2010,2.71,1086.0,Hyundai,Hyundai i10,2010,bangalore
Petrol,SUV,Automatic,40000,2018,12.8,1591.0,Hyundai,Hyundai Creta,2018,bangalore
Diesel,Hatchback,Manual,40562,2012,4.36,1396.0,Hyundai,Hyundai i20,2012,bangalore
Petrol,SUV,Automatic,26500,2021,16.75,1397.0,Hyundai,Hyundai Creta,2021,bangalore
Petrol,SUV,Automatic,20000,2019,12.5,998.0,Hyundai,Hyundai Venue,2019,bangalore
Diesel,SUV,Automatic,58600,2016,13.5,2179.0,Mahindra,Mahindra XUV500,2016,bangalore
Petrol,SUV,Automatic,42050,2020,22.25,1498.0,Volkswagen,Volkswagen T-Roc,2020,bangalore
Petrol,Hatchback,Automatic,65017,2015,4.75,998.0,Maruti,Maruti Celerio,2016,bangalore
Diesel,Sedan,Automatic,80000,2008,6.0,1995.0,BMW,BMW 3 Series,2008,bangalore
Petrol,SUV,Automatic,30000,2021,24.5,1368.0,Jeep,Jeep Compass,2021,bangalore
Petrol,SUV,Automatic,20000,2020,16.25,1353.0,Kia,Kia Seltos,2020,bangalore
Diesel,Sedan,Automatic,36349,2014,16.5,1968.0,Skoda,Skoda Superb,2014,bangalore
Petrol,Hatchback,Manual,80000,2009,2.49,1197.0,Hyundai,Hyundai i10,2009,bangalore
Petrol,SUV,Manual,83394,2014,6.3,1598.0,Renault,Renault Duster,2014,bangalore
Diesel,SUV,Automatic,30000,2016,25.99,1968.0,Audi,Audi Q5,2016,bangalore
Petrol,Hatchback,Manual,52204,2017,3.85,998.0,Maruti,Maruti Alto K10,2017,bangalore
Petrol,Hatchback,Manual,110000,2012,3.0,1197.0,Hyundai,Hyundai i20,2012,bangalore
Diesel,SUV,Automatic,89000,2017,29.75,3198.0,Ford,Ford Endeavour,2017,bangalore
Petrol,Hatchback,Manual,29813,2014,2.76,796.0,Maruti,Maruti Alto 800,2014,bangalore
Petrol,Hatchback,Manual,30000,2018,5.0,1196.0,Ford,Ford Figo,2018,bangalore
Petrol,Hatchback,Automatic,13345,2020,7.3,1197.0,Maruti,Maruti Ignis,2020,bangalore
Diesel,SUV,Automatic,17100,2022,22.45,1498.0,Hyundai,Hyundai Alcazar,2022,bangalore
Petrol,Hatchback,Manual,75000,2014,3.99,1197.0,Hyundai,Hyundai Grand i10,2014,bangalore
Petrol,Hatchback,Manual,75523,2011,3.12,1197.0,Hyundai,Hyundai i10,2011,bangalore
Diesel,SUV,Manual,47000,2015,12.75,2179.0,Mahindra,Mahindra XUV500,2015,bangalore
Diesel,SUV,Manual,36500,2022,19.9,1956.0,Tata,Tata Harrier,2022,bangalore
Petrol,MUV,Manual,28253,2020,7.19,999.0,Renault,Renault Triber,2020,bangalore
Diesel,SUV,Manual,50000,2016,12.6,1582.0,Hyundai,Hyundai Creta,2016,bangalore
Petrol,Hatchback,Manual,90000,2010,3.0,1197.0,Hyundai,Hyundai i10,2010,bangalore
Diesel,SUV,Automatic,70000,2016,39.81,2993.0,BMW,BMW X5,2016,bangalore
Petrol,Hatchback,Manual,52571,2016,6.27,1197.0,Hyundai,Hyundai i20,2016,bangalore
Diesel,Sedan,Automatic,70000,2010,13.0,1995.0,BMW,BMW 3 Series,2010,bangalore
Petrol,Sedan,Manual,61993,2015,6.72,1497.0,Honda,Honda City,2015,bangalore
Diesel,SUV,Automatic,57000,2017,18.25,1995.0,Hyundai,Hyundai Tucson,2017,bangalore
Diesel,SUV,Manual,80000,2021,35.0,2755.0,Toyota,Toyota Fortuner,2021,bangalore
Petrol,Hatchback,Manual,36359,2013,4.4,1197.0,Hyundai,Hyundai i20,2013,bangalore
Diesel,SUV,Manual,70000,2019,14.6,1956.0,Tata,Tata Harrier,2019,bangalore
Petrol,SUV,Automatic,7500,2022,20.41,1451.0,MG,MG Hector,2022,bangalore
Petrol,Sedan,Automatic,30301,2017,10.33,1591.0,Hyundai,Hyundai Verna,2017,bangalore
Petrol,Hatchback,Manual,66000,2010,2.75,1197.0,Hyundai,Hyundai i10,2010,bangalore
Petrol,Hatchback,Manual,56010,2017,6.76,1197.0,Hyundai,Hyundai i20,2017,bangalore
Diesel,SUV,Automatic,47000,2017,42.9,2143.0,Mercedes-Benz,Mercedes-Benz GLC,2017,bangalore
Diesel,SUV,Manual,60000,2014,6.5,1461.0,Nissan,Nissan Terrano,2014,bangalore
Diesel,Hatchback,Manual,83829,2014,4.44,1248.0,Maruti,Maruti Swift,2014,bangalore
Petrol,Hatchback,Automatic,10000,2020,5.1,999.0,Renault,Renault KWID,2020,bangalore
Diesel,SUV,Automatic,35000,2016,9.25,1461.0,Renault,Renault Duster,2016,bangalore
Petrol,Sedan,Automatic,51116,2019,10.24,1497.0,Honda,Honda City,2020,bangalore
Diesel,Sedan,Manual,80000,2016,5.0,1498.0,Skoda,Skoda Rapid,2016,bangalore
Petrol,Hatchback,Automatic,40000,2017,9.95,1197.0,Volkswagen,Volkswagen Polo,2017,bangalore
Petrol,SUV,Automatic,85565,2012,9.35,2354.0,Honda,Honda CR-V,2012,bangalore
Petrol,SUV,Manual,36916,2018,8.34,1497.0,Ford,Ford Ecosport,2018,bangalore
Diesel,Hatchback,Manual,90000,2015,5.6,1498.0,Volkswagen,Volkswagen Polo,2015,bangalore
Petrol,Hatchback,Manual,112795,2012,4.54,1197.0,Maruti,Maruti Swift,2012,bangalore
Petrol,Sedan,Automatic,11000,2021,36.9,1332.0,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,bangalore
Petrol,MUV,Manual,120000,2014,11.0,1998.0,Toyota,Toyota Innova,2014,bangalore
Petrol,Hatchback,Manual,36685,2016,4.62,1198.0,Honda,Honda Brio,2016,bangalore
Diesel,SUV,Automatic,120000,2012,9.0,2199.0,Hyundai,Hyundai Santa Fe,2012,bangalore
Petrol,Sedan,Automatic,4000,2022,79.0,1998.0,BMW,BMW 6 Series,2022,bangalore
Petrol,Hatchback,Automatic,32184,2019,8.43,1197.0,Maruti,Maruti Baleno,2019,bangalore
Petrol,Hatchback,Manual,32279,2018,7.99,998.0,Maruti,Maruti Baleno RS,2019,bangalore
Petrol,Hatchback,Manual,59698,2015,5.76,1197.0,Hyundai,Hyundai i20,2015,bangalore
Diesel,SUV,Manual,46071,2018,9.49,1461.0,Renault,Renault Captur,2018,bangalore
Diesel,SUV,Manual,90000,2017,7.95,1248.0,Maruti,Maruti Vitara Brezza,2017,bangalore
Petrol,SUV,Manual,9554,2019,10.85,998.0,Hyundai,Hyundai Venue,2019,bangalore
Petrol,SUV,Automatic,14000,2022,25.9,1368.0,Jeep,Jeep Compass,2022,bangalore
Diesel,SUV,Manual,74499,2013,5.16,1461.0,Renault,Renault Duster,2013,bangalore
Petrol,SUV,Automatic,56211,2017,7.77,1497.0,Ford,Ford Ecosport,2017,bangalore
Petrol,Hatchback,Manual,9001,2019,7.53,1199.0,Honda,Honda Jazz,2019,bangalore
Diesel,SUV,Automatic,65457,2017,12.26,1997.0,Mahindra,Mahindra XUV500,2017,bangalore
Petrol,Hatchback,Manual,23682,2017,7.25,1199.0,Honda,Honda Jazz,2017,bangalore
Diesel,Sedan,Manual,50000,2020,11.5,1582.0,Hyundai,Hyundai Verna,2020,bangalore
Diesel,Hatchback,Manual,134557,2015,6.29,1248.0,Maruti,Maruti Swift,2015,bangalore
Petrol,Sedan,Manual,96567,2013,4.47,1197.0,Maruti,Maruti Swift Dzire,2013,bangalore
Diesel,MUV,Manual,83007,2014,7.86,1248.0,Maruti,Maruti Ertiga,2015,bangalore
Petrol,Hatchback,Manual,34000,2018,7.45,1199.0,Honda,Honda Jazz,2018,bangalore
Petrol,Hatchback,Automatic,81634,2014,4.9,1197.0,Hyundai,Hyundai Grand i10,2014,bangalore
Petrol,Sedan,Automatic,57284,2017,9.42,1497.0,Honda,Honda City,2017,bangalore
Petrol,SUV,Automatic,70000,2016,6.75,1499.0,Ford,Ford Ecosport,2016,bangalore
Petrol,Hatchback,Manual,70000,2013,3.3,1198.0,Honda,Honda Brio,2013,bangalore
Petrol,Sedan,Automatic,46429,2018,8.75,1496.0,Toyota,Toyota Yaris,2018,bangalore
Petrol,Hatchback,Manual,17624,2017,8.69,1197.0,Maruti,Maruti Baleno,2018,bangalore
Diesel,Sedan,Manual,100000,2012,4.25,1598.0,Volkswagen,Volkswagen Vento,2012,bangalore
Petrol,Sedan,Manual,30000,2019,10.7,1497.0,Honda,Honda City,2019,bangalore
Petrol,SUV,Manual,49690,2018,10.25,1496.0,Ford,Ford Ecosport,2018,bangalore
Diesel,SUV,Manual,110000,2016,10.0,2179.0,Mahindra,Mahindra XUV500,2016,bangalore
Petrol,Sedan,Manual,50000,2009,3.75,1368.0,Fiat,Fiat Linea,2009,bangalore
Petrol,SUV,Automatic,55702,2018,8.44,1497.0,Ford,Ford Ecosport,2018,bangalore
Diesel,Hatchback,Manual,45046,2016,7.64,1396.0,Hyundai,Hyundai i20 Active,2016,bangalore
Petrol,Hatchback,Manual,53000,2014,4.2,1197.0,Maruti,Maruti Ritz,2014,bangalore
Diesel,Hatchback,Manual,94695,2016,6.84,1248.0,Maruti,Maruti Baleno,2016,bangalore
Petrol,Hatchback,Manual,22162,2019,8.03,1197.0,Maruti,Maruti Baleno,2019,bangalore
Petrol,Hatchback,Manual,70000,2010,3.2,1086.0,Hyundai,Hyundai Santro Xing,2010,bangalore
Diesel,Sedan,Manual,115331,2017,8.04,1498.0,Honda,Honda City,2018,bangalore
Diesel,Sedan,Automatic,70000,2013,14.0,2148.0,Mercedes-Benz,Mercedes-Benz E-Class,2013,bangalore
Petrol,Hatchback,Manual,42233,2016,5.48,1197.0,Maruti,Maruti Swift,2016,bangalore
